"H. F. H.","Hoddesdon","","","","(a) no, W.L. wrong.","","","","","H. F. H. (Hoddesdon): (a) no, W.L. wrong, (b) presumably Oslo, items not advertised."
"H. F. H.","Hoddesdon","","","","(b) presumably Oslo, items not advertised.","Oslo","Norway","59.9","10.8","H. F. H. (Hoddesdon): (a) no, W.L. wrong, (b) presumably Oslo, items not advertised."
"Amon-Ra","","","","","cannot trace, believe Malmö or Gothenburg.","","","","","Amon-Ra: cannot trace, believe Malmö or Gothenburg."
"E. L. W.","","","","","(15/1) Hamburg; gong; not necessarily when dance music.","Hamburg","Germany","53.5","10.0","E. L. W.: (15/1) Hamburg; gong; not necessarily when dance music, (3.15) Berne (Switzerland) gong has now been abolished, (3.40) probably Hilversum, but item not advertised."
"E. L. W.","","","","","(3.15) Berne (Switzerland) gong has now been abolished.","Bern","Switzerland","46.9","7.4","E. L. W.: (15/1) Hamburg; gong; not necessarily when dance music, (3.15) Berne (Switzerland) gong has now been abolished, (3.40) probably Hilversum, but item not advertised."
"E. L. W.","","","","","(3.40) probably Hilversum, but item not advertised.","Hilversum","Netherlands","52.2","5.2","E. L. W.: (15/1) Hamburg; gong; not necessarily when dance music, (3.15) Berne (Switzerland) gong has now been abolished, (3.40) probably Hilversum, but item not advertised."
"R. B.","Leicester","","","","Hanover.","Hanover","Germany","52.4","9.7","R. B. (Leicester): Hanover."
"Johnny","","","","","too vague.","","","","","Johnny: too vague."
"P. V.","Peterboro'","","","","W.L. vague, either Oslo or Hamburg.","","","","","P. V. (Peterboro'): W.L. vague, either Oslo or Hamburg."
"Rover","","","","","Cardiff.","Cardiff","UK","51.5","-3.2","Rover: Cardiff."
"Liverbird (6LV)","","","","","cannot trace.","","","","","Liverbird (6LV): cannot trace."
"Unif Set","","","","","Geneva testing.","Geneva","Switzerland","46.2","6.1","Unif Set: Geneva testing."
"Rex","","","","","W.L. wrong, cannot trace.","","","","","Rex: W.L. wrong, cannot trace."
"Kingston","Hull","","","","New Prague station.","Prague","Czech Republic","50.1","14.4","Kingston (Hull): New Prague station."
"Hamptonian","","","","","San Sebastian.","San Sebastian","Spain","43.3","-1.9","Hamptonian: San Sebastian."
"Neutro","Bristol","","","","not advertised testing; presumably Cadiz (test).","Cadiz","Spain","36.5","-6.3","Neutro (Bristol): not advertised testing; presumably Cadiz (test)."
"Central","Halifax","","","","Prague.","Prague","Czech Republic","50.1","14.4","Central (Halifax): Prague."
"Bright","","","","","L.42914: not advertised, probably Koenigs-wusterhausen.","Königs Wusterhausen","Germany","52.3","13.6","Bright: L.42914: not advertised, probably Koenigs-wusterhausen."
"J. H. C.","Dover","","","","extended transmission Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","J. H. C. (Dover): extended transmission Madrid (EAJ7)."
"N. A. B.","","","","","Bremen.","Bremen","Germany","53.1","8.8","N. A. B.: Bremen."
"H. G.","Newton Abbot","","","","not advertised, probably Prague.","Prague","Czech Republic","50.1","14.4","H. G. (Newton Abbot): not advertised, probably Prague."
"Tariff","Newton Abbott","","","","San Sebastian.","San Sebastian","Spain","43.3","-1.9","Tariff (Newton Abbott): San Sebastian."
"Australia","Cheshire","","","","not advertised, probably Prague.","Prague","Czech Republic","50.1","14.4","Australia (Cheshire): not advertised, probably Prague."
"Orange","","","","","Children’s Hour, Hamburg.","Hamburg","Germany","53.5","10.0","Orange: Children’s Hour, Hamburg."
"Plug and Socket","","","","","details too vague.","","","","","Plug and Socket: details too vague."
"R. S. B.","Uplands","","","","Prague.","Prague","Czech Republic","50.1","14.4","R. S. B. (Uplands): Prague."
"Hones","","","","","OXO (Stafford): Prague.","Prague","Czech Republic","50.1","14.4","Hones: OXO (Stafford): Prague."
"Dannesis","","","","","(1) Hamburg.","Hamburg","Germany","53.5","10.0","Dannesis: (1) Hamburg, (2) Bergen testing, (3) Prague, (4) too vague."
"Dannesis","","","","","(2) Bergen testing.","Bergen","Norway","60.4","5.3","Dannesis: (1) Hamburg, (2) Bergen testing, (3) Prague, (4) too vague."
"Dannesis","","","","","(3) Prague.","Prague","Czech Republic","50.1","14.4","Dannesis: (1) Hamburg, (2) Bergen testing, (3) Prague, (4) too vague."
"Dannesis","","","","","(4) too vague.","","","","","Dannesis: (1) Hamburg, (2) Bergen testing, (3) Prague, (4) too vague."
"Teignmouth","","","","","published this week.","","","","","Teignmouth: published this week."
"Ear-ache","","","","","cannot trace item, not German.","","","","","Ear-ache: cannot trace item, not German."
"Eh What?","Swansea","","","","Hjorring.","Hjørring","Denmark","57.5","9.9","Eh What? (Swansea): Hjorring."
"Sterling","","","","","Moscow (RDW).","Moscow","Russia","55.8","37.6","Sterling: Moscow (RDW)."
"Mechelin","","","","","(7.30) relay of Stockholm.","Stockholm","Sweden","59.3","18.1","Mechelin: (7.30) relay of Stockholm."
"XL60R","","","","","item not advertised.","","","","","XL60R: item not advertised."
"L. G. L. Hoiser","","","","","a.m. or p.m. Jawood: Berlin (305 m.).","Berlin","Germany","52.5","13.4","L. G. L. Hoiser: a.m. or p.m. Jawood: Berlin (305 m.)."
"Quixotic","","","","","Hanover.","Hanover","Germany","52.4","9.7","Quixotic: Hanover."
"G. S. B.","","","","","WGY, Schenectady.","Schenectady","USA","42.8","-73.9","G. S. B.: WGY, Schenectady."
"Beach","Dover","","","","probably Breslau.","Wrocław","Poland","51.1","17.0","Beach (Dover): probably Breslau."
